,Actual Load
2024-06-01 00:00:00+02:00,41401.0
2024-06-01 00:15:00+02:00,41142.0
2024-06-01 00:30:00+02:00,40636.0
2024-06-01 00:45:00+02:00,40046.0
2024-06-01 01:00:00+02:00,39228.0
2024-06-01 01:15:00+02:00,38897.0
2024-06-01 01:30:00+02:00,38745.0
2024-06-01 01:45:00+02:00,38265.0
2024-06-01 02:00:00+02:00,37673.0
2024-06-01 02:15:00+02:00,37509.0
2024-06-01 02:30:00+02:00,37437.0
2024-06-01 02:45:00+02:00,37355.0
2024-06-01 03:00:00+02:00,36992.0
2024-06-01 03:15:00+02:00,36739.0
2024-06-01 03:30:00+02:00,36923.0
2024-06-01 03:45:00+02:00,36710.0
2024-06-01 04:00:00+02:00,36670.0
2024-06-01 04:15:00+02:00,36701.0
2024-06-01 04:30:00+02:00,36730.0
2024-06-01 04:45:00+02:00,36975.0
2024-06-01 05:00:00+02:00,37326.0
2024-06-01 05:15:00+02:00,37175.0
2024-06-01 05:30:00+02:00,37370.0
2024-06-01 05:45:00+02:00,37790.0
2024-06-01 06:00:00+02:00,38393.0
2024-06-01 06:15:00+02:00,38864.0
2024-06-01 06:30:00+02:00,39156.0
2024-06-01 06:45:00+02:00,39370.0
2024-06-01 07:00:00+02:00,40403.0
2024-06-01 07:15:00+02:00,41142.0
2024-06-01 07:30:00+02:00,41856.0
2024-06-01 07:45:00+02:00,42594.0
2024-06-01 08:00:00+02:00,43190.0
2024-06-01 08:15:00+02:00,44412.0
2024-06-01 08:30:00+02:00,45292.0
2024-06-01 08:45:00+02:00,46025.0
2024-06-01 09:00:00+02:00,46954.0
2024-06-01 09:15:00+02:00,47692.0
2024-06-01 09:30:00+02:00,48676.0
2024-06-01 09:45:00+02:00,49091.0
2024-06-01 10:00:00+02:00,50047.0
2024-06-01 10:15:00+02:00,50360.0
2024-06-01 10:30:00+02:00,51001.0
2024-06-01 10:45:00+02:00,51566.0
2024-06-01 11:00:00+02:00,51728.0
2024-06-01 11:15:00+02:00,52130.0
2024-06-01 11:30:00+02:00,52514.0
2024-06-01 11:45:00+02:00,52403.0
2024-06-01 12:00:00+02:00,52269.0
2024-06-01 12:15:00+02:00,52354.0
2024-06-01 12:30:00+02:00,52216.0
2024-06-01 12:45:00+02:00,51493.0
2024-06-01 13:00:00+02:00,51060.0
2024-06-01 13:15:00+02:00,50731.0
2024-06-01 13:30:00+02:00,50294.0
2024-06-01 13:45:00+02:00,49797.0
2024-06-01 14:00:00+02:00,48986.0
2024-06-01 14:15:00+02:00,49188.0
2024-06-01 14:30:00+02:00,48852.0
2024-06-01 14:45:00+02:00,48629.0
2024-06-01 15:00:00+02:00,48354.0
2024-06-01 15:15:00+02:00,48473.0
2024-06-01 15:30:00+02:00,48051.0
2024-06-01 15:45:00+02:00,47757.0
2024-06-01 16:00:00+02:00,47969.0
2024-06-01 16:15:00+02:00,47812.0
2024-06-01 16:30:00+02:00,47900.0
2024-06-01 16:45:00+02:00,48327.0
2024-06-01 17:00:00+02:00,48571.0
2024-06-01 17:15:00+02:00,48219.0
2024-06-01 17:30:00+02:00,48124.0
2024-06-01 17:45:00+02:00,48469.0
2024-06-01 18:00:00+02:00,48699.0
2024-06-01 18:15:00+02:00,49101.0
2024-06-01 18:30:00+02:00,49039.0
2024-06-01 18:45:00+02:00,48880.0
2024-06-01 19:00:00+02:00,48416.0
2024-06-01 19:15:00+02:00,48220.0
2024-06-01 19:30:00+02:00,48118.0
2024-06-01 19:45:00+02:00,47606.0
2024-06-01 20:00:00+02:00,47137.0
2024-06-01 20:15:00+02:00,46319.0
2024-06-01 20:30:00+02:00,45998.0
2024-06-01 20:45:00+02:00,45310.0
2024-06-01 21:00:00+02:00,44945.0
2024-06-01 21:15:00+02:00,44802.0
2024-06-01 21:30:00+02:00,44389.0
2024-06-01 21:45:00+02:00,44221.0
2024-06-01 22:00:00+02:00,44395.0
2024-06-01 22:15:00+02:00,43739.0
2024-06-01 22:30:00+02:00,43238.0
2024-06-01 22:45:00+02:00,42736.0
2024-06-01 23:00:00+02:00,41833.0
2024-06-01 23:15:00+02:00,41458.0
2024-06-01 23:30:00+02:00,40995.0
2024-06-01 23:45:00+02:00,40356.0
2024-06-02 00:00:00+02:00,39216.0
2024-06-02 00:15:00+02:00,38717.0
2024-06-02 00:30:00+02:00,38212.0
2024-06-02 00:45:00+02:00,37924.0
2024-06-02 01:00:00+02:00,37470.0
2024-06-02 01:15:00+02:00,36769.0
2024-06-02 01:30:00+02:00,36701.0
2024-06-02 01:45:00+02:00,36479.0
2024-06-02 02:00:00+02:00,36280.0
2024-06-02 02:15:00+02:00,35964.0
2024-06-02 02:30:00+02:00,35394.0
2024-06-02 02:45:00+02:00,35342.0
2024-06-02 03:00:00+02:00,35398.0
2024-06-02 03:15:00+02:00,35251.0
2024-06-02 03:30:00+02:00,35009.0
2024-06-02 03:45:00+02:00,35333.0
2024-06-02 04:00:00+02:00,35617.0
2024-06-02 04:15:00+02:00,35607.0
2024-06-02 04:30:00+02:00,35582.0
2024-06-02 04:45:00+02:00,35527.0
2024-06-02 05:00:00+02:00,35904.0
2024-06-02 05:15:00+02:00,35668.0
2024-06-02 05:30:00+02:00,35526.0
2024-06-02 05:45:00+02:00,35723.0
2024-06-02 06:00:00+02:00,36210.0
